Phase,Status,Weight,PR Domain,Evidence link
PH21,Closed,4,"Ops, Security",petcare_execution/evidence_output/PETCARE-PH21-CLOSURE/PETCARE-PH21-CLOSURE_20260221T203503Z.zip
PH22,Closed,4,"Ops, Security",petcare_execution/evidence_output/PETCARE-PH22-CLOSURE/PETCARE-PH22-CLOSURE_20260221T212340Z.zip
PH23,Closed,4,"Ops, Security",petcare_execution/evidence_output/PETCARE-PH23-CLOSURE/PETCARE-PH23-CLOSURE_20260221T214311Z.zip
PH24,Closed,4,"Ops, Security",petcare_execution/evidence_output/PETCARE-PH24-CLOSURE/PETCARE-PH24-CLOSURE_20260221T220702Z.zip
PH25,Closed,4,"Ops, Security",petcare_execution/evidence_output/PETCARE-PH25-CLOSURE/PETCARE-PH25-CLOSURE_20260221T223114Z.zip
PH26,Planned,4,Evidence,
PH27,Planned,4,Evidence,
PH28,Planned,4,Evidence,
PH29,Closed,4,Evidence,petcare_execution/evidence_output/PETCARE-PH29B-CLOSURE/PETCARE-PH29B-CLOSURE_20260223T212656Z.zip
PH30,Closed,4,Governance,petcare_execution/evidence_output/PETCARE-PH30-CLOSURE/PETCARE-PH30-CLOSURE_20260223T232135Z.zip
PH31,Closed,4,CI,petcare_execution/evidence_output/PETCARE-PH31-CLOSURE/PETCARE-PH31-CLOSURE_20260224T234828Z.zip
PH32,Closed,4,CI,petcare_execution/evidence_output/PETCARE-PH32-CLOSURE/PETCARE-PH32-CLOSURE_20260224T201713Z.zip
PH33,Closed,4,CI,petcare_execution/evidence_output/PETCARE-PH33-CLOSURE/PETCARE-PH33-CLOSURE_20260224T213206Z.zip
PH34,Closed,5,"CI, Ops, Security",petcare_execution/evidence_output/PETCARE-PH34-CLOSURE/PETCARE-PH34-CLOSURE_20260224T214301Z.zip
PH35,Closed,5,Governance,petcare_execution/evidence_output/PETCARE-PH35-CLOSURE/PETCARE-PH35-CLOSURE_20260224T215410Z.zip
PH36,Closed,5,Governance,petcare_execution/evidence_output/PETCARE-PH36-CLOSURE/PETCARE-PH36-CLOSURE_20260224T230152Z.zip
PH37,Closed,4,Governance,petcare_execution/evidence_output/PETCARE-PH37-CLOSURE/PETCARE-PH37-CLOSURE_20260224T231111Z.zip
PH38,Closed,4,Governance,petcare_execution/evidence_output/PETCARE-PH38-CLOSURE/PETCARE-PH38-CLOSURE_20260224T232946Z.zip
PH39,Closed,5,Evidence,petcare_execution/evidence_output/PETCARE-PH39-CLOSURE/PETCARE-PH39-CLOSURE_20260224T234828Z.zip
PH40,Closed,5,Evidence,petcare_execution/evidence_output/PETCARE-PH40-CLOSURE/PETCARE-PH40-CLOSURE_20260225T002300Z.zip
PH41,Closed,0,Governance,petcare_execution/evidence_output/PETCARE-PH41-CLOSURE/PETCARE-PH41-CLOSURE_20260225T111240Z.zip
